run,model,weight
run1,nt,0.00561532
run1,nt,-0.013915644
run1,nt,-0.0017869575
run1,nt,-0.0049588657
run1,nt,0.0020675978
run1,nt,-0.010547697
run1,nt,-0.0004248422
run1,nt,0.0044691833
run1,nt,-0.008239133
run1,nt,-0.0011947536
run1,nt,0.039077055
run1,nt,-0.003350659
run1,nt,-0.034354374
run1,nt,0.007425751
run1,nt,-0.00095338
run1,nt,0.05671163
run1,nt,0.011165297
run1,nt,-0.009129213
run1,nt,-0.004594707
run1,nt,-0.0133852605
run1,nt,-0.007779834
run1,nt,-0.0019464953
run1,nt,-0.009670883
run1,nt,-0.004145209
run1,nt,0.006552495
run1,nt,0.002099906
run1,nt,0.01040663
run1,nt,-0.003695256
run1,nt,-0.010694367
run1,nt,0.02880797
run1,nt,0.024623942
run1,nt,0.020920629
run1,nt,-0.0048561217
run1,nt,0.0013977536
run1,nt,0.008463368
run1,nt,0.006570919
run1,nt,-0.0021730296
run1,nt,0.0019222125
run1,nt,-0.004662775
run1,nt,-0.009037038
run1,nt,0.018298768
run1,nt,-0.004568327
run1,nt,-0.005227439
run1,nt,-0.0006844888
run1,nt,0.0068321773
run1,nt,-0.0012340983
run1,nt,0.026927585
run1,nt,0.028364573
run1,nt,-0.002217308
run1,nt,0.017271897
run1,nt,-0.005146139
run1,nt,-0.004400629
run1,nt,-0.014283392
run1,nt,-0.0002543321
run1,nt,-0.0035379664
run1,nt,0.018059704
run1,nt,-0.0014677115
run1,nt,-0.0015089889
run1,nt,-0.01551902
run1,nt,-0.0007763264
run1,nt,-0.026494503
run1,nt,-0.019350937
run1,nt,-0.010835825
run1,nt,-0.0039037983
run1,nt,-0.0010674495
run1,nt,-0.007109307
run1,nt,-0.019475397
run1,nt,-0.00070876384
run1,nt,-0.0005764046
run1,nt,0.0011981529
run1,nt,0.00055341725
run1,nt,-0.019561384
run1,nt,0.022875564
run1,nt,-0.0011636023
run1,nt,-0.022100715
run1,nt,0.004003945
run1,nt,0.0051394827
run1,nt,0.006728231
run1,nt,0.039916165
run1,nt,-0.008484899
run1,nt,-0.0078000054
run1,nt,-0.009109242
run1,nt,-0.00039610363
run1,nt,-1.66E-03
run1,nt,-0.019775555
run1,nt,-0.0056419726
run1,nt,-0.0038848766
run1,nt,0.023220973
run2,nt,0.004107301
run2,nt,-0.012548732
run2,nt,-0.007229924
run2,nt,-0.032196168
run2,nt,0.0037706487
run2,nt,0.003928425
run2,nt,0.011225435
run2,nt,-0.0013924842
run2,nt,0.010564692
run2,nt,0.0041956273
run2,nt,0.0003286203
run2,nt,-0.005366877
run2,nt,-0.0029372796
run2,nt,-0.0053558163
run2,nt,0.0049980786
run2,nt,-0.0011162253
run2,nt,-0.0065066875
run2,nt,-0.0035746237
run2,nt,-0.0077645173
run2,nt,-0.006367827
run2,nt,-0.0020826445
run2,nt,-0.0016962863
run2,nt,0.0057111466
run2,nt,-0.005447592
run2,nt,-0.03245204
run2,nt,-0.005727832
run2,nt,-0.005121771
run2,nt,-0.015940975
run2,nt,0.0029143863
run2,nt,0.010685326
run2,nt,0.002923569
run2,nt,0.0021852588
run2,nt,0.0011830796
run2,nt,0.0069205416
run2,nt,-0.009226723
run2,nt,0.006557325
run2,nt,0.021326551
run2,nt,-0.003903362
run2,nt,0.001112714
run2,nt,0.0012241807
run2,nt,-0.0077537913
run2,nt,-0.0042085606
run2,nt,0.0052659987
run2,nt,-0.008924456
run2,nt,0.017631982
run2,nt,2.74E-03
run2,nt,-0.0007006319
run2,nt,0.0016281425
run2,nt,-0.010382902
run2,nt,-0.0061623
run2,nt,0.032588765
run2,nt,-0.0081348475
run2,nt,0.0060387026
run2,nt,-0.0027606909
run2,nt,-0.015226794
run2,nt,-0.007977635
run2,nt,-0.009515103
run2,nt,-0.025662383
run2,nt,-0.025429938
run2,nt,-0.007882806
run2,nt,0.007815118
run2,nt,0.010711155
run2,nt,0.0010077925
run2,nt,-0.015308153
run2,nt,-0.009427908
run2,nt,0.024363562
run2,nt,-0.002420614
run2,nt,0.0370782
run2,nt,0.0046701133
run2,nt,-0.018190939
run2,nt,0.0049758176
run2,nt,0.0027642413
run2,nt,-0.017524788
run2,nt,0.0064714407
run2,nt,-0.022448318
run2,nt,-0.0022648936
run2,nt,0.035813652
run2,nt,0.0013280264
run2,nt,-0.014339881
run2,nt,0.0052447543
run2,nt,-0.0087105455
run2,nt,-0.00510425
run2,nt,0.025534414
run2,nt,0.0011156935
run2,nt,0.0044040726
run2,nt,0.0011759123
run2,nt,-0.009144105
run2,nt,-0.0070031215
run2,nt,0.036720674
run2,nt,0.0060069486
run2,nt,-0.021767713
run2,nt,0.03419784
run2,nt,0.03550131
run2,nt,-0.0046831076
run2,nt,0.0035547903
