run,noise,model,acc
run2,0.8,model_syn,0.3356571428571429
run2,0.9,model_syn,0.26804285714285714
run2,1,model_syn,0.22792857142857142
run3,0,model_syn,0.9878857142857143
run3,0.1,model_syn,0.9873285714285714
run3,0.2,model_syn,0.9839714285714286
run3,0.3,model_syn,0.9751857142857143
run3,0.4,model_syn,0.9268428571428572
run3,0.5,model_syn,0.7820285714285714
run3,0.6,model_syn,0.5894571428571429
run3,0.7,model_syn,0.43557142857142855
run3,0.8,model_syn,0.3356571428571429
run3,0.9,model_syn,0.26804285714285714
run3,1,model_syn,0.22792857142857142
run4,0,model_syn,0.9878857142857143
run4,0.1,model_syn,0.9873285714285714
run4,0.2,model_syn,0.9839714285714286
run4,0.3,model_syn,0.9751857142857143
run4,0.4,model_syn,0.9268428571428572
run4,0.5,model_syn,0.7820285714285714
run4,0.6,model_syn,0.5894571428571429
run4,0.7,model_syn,0.43557142857142855
run4,0.8,model_syn,0.3356571428571429
run4,0.9,model_syn,0.26804285714285714
run4,1,model_syn,0.22792857142857142
run5,0,model_syn,0.9878857142857143
run5,0.1,model_syn,0.9873285714285714
run5,0.2,model_syn,0.9839714285714286
run5,0.3,model_syn,0.9751857142857143
run5,0.4,model_syn,0.9268428571428572
run5,0.5,model_syn,0.7820285714285714
run5,0.6,model_syn,0.5894571428571429
run5,0.7,model_syn,0.43557142857142855
run5,0.8,model_syn,0.3356571428571429
run5,0.9,model_syn,0.26804285714285714
run5,1,model_syn,0.22792857142857142
run1,0,model_hom,0.9688142857142857
run1,0.1,model_hom,0.9684142857142857
run1,0.2,model_hom,0.9647714285714286
run1,0.3,model_hom,0.9538857142857143
run1,0.4,model_hom,0.9026857142857143
run1,0.5,model_hom,0.7484714285714286
run1,0.6,model_hom,0.5649428571428572
run1,0.7,model_hom,0.42375714285714283
run1,0.8,model_hom,0.3355
run1,0.9,model_hom,0.2773857142857143
run1,1,model_hom,0.24287142857142857
run2,0,model_hom,0.9693571428571428
run2,0.1,model_hom,0.9693428571428572
run2,0.2,model_hom,0.9654571428571429
run2,0.3,model_hom,0.9528857142857143
run2,0.4,model_hom,0.8889857142857143
run2,0.5,model_hom,0.7066142857142858
run2,0.6,model_hom,0.5034857142857143
run2,0.7,model_hom,0.3824571428571429
run2,0.8,model_hom,0.3122285714285714
run2,0.9,model_hom,0.26635714285714285
run2,1,model_hom,0.23322857142857142
run3,0,model_hom,0.9645142857142858
run3,0.1,model_hom,0.9624428571428572
run3,0.2,model_hom,0.9548142857142857
run3,0.3,model_hom,0.9351571428571429
run3,0.4,model_hom,0.8825428571428572
run3,0.5,model_hom,0.7687428571428572
run3,0.6,model_hom,0.6046
run3,0.7,model_hom,0.44274285714285716
run3,0.8,model_hom,0.3271
run3,0.9,model_hom,0.2529142857142857
run3,1,model_hom,0.20692857142857143
run4,0,model_hom,0.9696285714285714
run4,0.1,model_hom,0.9685428571428571
run4,0.2,model_hom,0.9637
run4,0.3,model_hom,0.9508
run4,0.4,model_hom,0.8965285714285715
run4,0.5,model_hom,0.7583714285714286
run4,0.6,model_hom,0.5841714285714286
run4,0.7,model_hom,0.4456
run4,0.8,model_hom,0.3511142857142857
run4,0.9,model_hom,0.28935714285714287
run4,1,model_hom,0.2505142857142857
run5,0,model_hom,0.9715142857142857
run5,0.1,model_hom,0.9712571428571428
run5,0.2,model_hom,0.9667285714285714
run5,0.3,model_hom,0.9528285714285715
run5,0.4,model_hom,0.9089428571428572
run5,0.5,model_hom,0.7996428571428571
run5,0.6,model_hom,0.6370285714285714
run5,0.7,model_hom,0.48957142857142855
run5,0.8,model_hom,0.3779
run5,0.9,model_hom,0.3042714285714286
run5,1,model_hom,0.25185714285714284
