run,model,weight
run4,model_asd,-0.011015631
run4,model_asd,0.000590691
run4,model_asd,-0.02420087
run4,model_asd,-0.005367314
run4,model_asd,-0.000588884
run4,model_asd,0.004525737
run4,model_asd,0.027286643
run4,model_asd,0.004259743
run4,model_asd,-0.011358756
run4,model_asd,-0.001662747
run4,model_asd,0.007175179
run5,model_asd,-0.000672855
run5,model_asd,0.002243416
run5,model_asd,0.005991009
run5,model_asd,-0.014516115
run5,model_asd,0.013087851
run5,model_asd,-0.013579808
run5,model_asd,-0.004413558
run5,model_asd,0.005551613
run5,model_asd,0.013979815
run5,model_asd,-0.0162027
run5,model_asd,-0.012438417
run5,model_asd,-0.003312307
run5,model_asd,0.010930649
run5,model_asd,0.004522584
run5,model_asd,0.007165246
run5,model_asd,-0.007892149
run5,model_asd,-0.003239461
run5,model_asd,-0.013245102
run5,model_asd,-0.004085066
run5,model_asd,-0.020093663
run5,model_asd,-0.010003236
run5,model_asd,-0.015063868
run5,model_asd,0.012331617
run5,model_asd,0.004191747
run5,model_asd,-0.003323088
run5,model_asd,0.004733393
run5,model_asd,0.001217069
run5,model_asd,-0.004640823
run5,model_asd,-0.003597152
run5,model_asd,-0.010191708
run5,model_asd,0.010235435
run5,model_asd,0.003968492
run5,model_asd,-0.000992088
run5,model_asd,0.026383668
run5,model_asd,-0.006477317
run5,model_asd,0.007094067
run5,model_asd,-0.006940498
run5,model_asd,-0.001469517
run5,model_asd,-0.002512297
run5,model_asd,-0.005137367
run5,model_asd,0.002015956
run5,model_asd,0.012711622
run5,model_asd,-0.007751718
run5,model_asd,-0.002797241
run5,model_asd,-0.011062373
run5,model_asd,0.006658829
run5,model_asd,-0.002091083
run5,model_asd,-0.007916221
run5,model_asd,-0.010348841
run5,model_asd,-0.005662346
run5,model_asd,-0.006152505
run5,model_asd,0.000151246
run5,model_asd,-0.004351964
run5,model_asd,-0.016063856
run5,model_asd,-0.000890384
run5,model_asd,-0.03830466
run5,model_asd,-0.006933339
run5,model_asd,-0.009487275
run5,model_asd,-0.016620634
run5,model_asd,0.003097151
run5,model_asd,-0.00772024
run5,model_asd,-0.004739587
run5,model_asd,-0.000678835
run5,model_asd,0.017267466
run1,model_syn,-0.007185642
run1,model_syn,0.007964431
run1,model_syn,0.003022371
run1,model_syn,0.004868583
run1,model_syn,-0.003379108
run1,model_syn,-0.002232912
run1,model_syn,-0.005399477
run1,model_syn,-0.013013601
run1,model_syn,-0.007967463
run1,model_syn,0.007094828
run1,model_syn,-0.010053225
run1,model_syn,0.005589679
run1,model_syn,0.004957355
run1,model_syn,0.01588491
run1,model_syn,0.02010683
run1,model_syn,0.0112791
run1,model_syn,0.021531114
run1,model_syn,0.02141673
run1,model_syn,0.003225857
run1,model_syn,-0.023373216
run1,model_syn,0.010233253
run1,model_syn,0.029859595
run1,model_syn,-0.010553896
run1,model_syn,0.008028783
run1,model_syn,0.011752263
run1,model_syn,0.021722103
run1,model_syn,0.018287502
run1,model_syn,4.76E-05
run1,model_syn,0.017788706
run1,model_syn,0.010815579
run1,model_syn,0.005775945
run1,model_syn,-0.00367833
